"id","name","url","thumbnail_image_url","recipe_kind_id","time"
12,"切り干し大根の煮物","https://chefgohan.gnavi.co.jp/detail/151","https://c-chefgohan.gnst.jp/imgdata/recipe/51/01/151/rc732x546_1209130243_de5609b517e1c2163659042a22109303.jpg",1,15
524,"山芋のシソ豚巻さっぱり焼き","https://chefgohan.gnavi.co.jp/detail/4192/","https://c-chefgohan.gnst.jp/imgdata/recipe/92/41/4192/rc732x546_1604111121_fd3d33754f98fc1dda341f05676db618.jpg",1,10
780,"新玉ねぎのさっぱり酢の物。","https://chefgohan.gnavi.co.jp/detail/3268/","https://c-chefgohan.gnst.jp/imgdata/recipe/68/32/3268/rc732x546_1505310429_ad03d534966472a7c2856244f7275382.jpg",1,8
1036,"鰤大根","https://chefgohan.gnavi.co.jp/detail/1845/","https://c-chefgohan.gnst.jp/imgdata/recipe/45/18/1845/rc732x546_1311120521_4953dff7c708217592bdf2584cf49921.jpg",1,30
1292,"豚バラ肉と鶏モモ肉の幽庵焼き","https://chefgohan.gnavi.co.jp/detail/4014","https://c-chefgohan.gnst.jp/imgdata/recipe/14/40/4014/rc732x546_1602151331_2c88dfba3ebca2444756b633515e4cbd.jpg",1,60
1548,"九州ざんまい五島うどん陶板グラタン","https://chefgohan.gnavi.co.jp/detail/3028","https://c-chefgohan.gnst.jp/imgdata/recipe/28/30/3028/rc732x546_1502250659_76bc8ca6e2b2c5fc75feff2b3c092556.jpg",1,20
1804,"黒豚ねぎ味噌辣油豆腐","https://chefgohan.gnavi.co.jp/detail/1430","https://c-chefgohan.gnst.jp/imgdata/recipe/30/14/1430/rc732x546_1307310514_fdb2f0aa0f14a1e25a18c3ab3a8bd120.jpg",1,30
2060,"新じゃがの風味揚げ","https://chefgohan.gnavi.co.jp/detail/384","https://c-chefgohan.gnst.jp/imgdata/recipe/84/03/384/rc732x546_1209161052_bc8ba14cac6aa77b62f1f3316266e5dc.jpg",1,50
13,"ひじきの煮物","https://chefgohan.gnavi.co.jp/detail/152","https://c-chefgohan.gnst.jp/imgdata/recipe/52/01/152/rc732x546_1209130245_bf46f9de4a840f5071a637f0281875bb.jpg",1,15
525,"びっくりふわふわ！オムライス","https://chefgohan.gnavi.co.jp/detail/4188/","https://c-chefgohan.gnst.jp/imgdata/recipe/88/41/4188/rc732x546_1604081748_22a33293e28905b4cedb35842f44d0df.jpg",1,20
