"id","name","url","thumbnail_image_url","recipe_kind_id"
81,"ローストビーフ","https://chefgohan.gnavi.co.jp/detail/110","https://c-chefgohan.gnst.jp/imgdata/recipe/10/01/110/rc732x546_1209241056_7c3d8fc47ed52fdf4a69db3d9d56e07a.jpg",2
82,"コールスロー","https://chefgohan.gnavi.co.jp/detail/111","https://c-chefgohan.gnst.jp/imgdata/recipe/11/01/111/rc732x546_1209211011_9936da008efc6121e05ab1c94f5c9a8c.jpg",2
83,"ポテトサラダ","https://chefgohan.gnavi.co.jp/detail/123","https://c-chefgohan.gnst.jp/imgdata/recipe/23/01/123/rc732x546_1209110909_979882c475f2bcde3fd7920d65aef688.jpg",2
84,"マカロニグラタン","https://chefgohan.gnavi.co.jp/detail/124","https://c-chefgohan.gnst.jp/imgdata/recipe/24/01/124/rc732x546_1209110910_afd35d72b1337cfc18ba477590a65b04.jpg",2
85,"ビーフポテトコロッケ","https://chefgohan.gnavi.co.jp/detail/125","https://c-chefgohan.gnst.jp/imgdata/recipe/25/01/125/rc732x546_1209110912_0fa7e481bce97d46e9d536b0cf9cff54.jpg",2
86,"ロールキャベツ","https://chefgohan.gnavi.co.jp/detail/126","https://c-chefgohan.gnst.jp/imgdata/recipe/26/01/126/rc732x546_1209110913_c861298bd4b883f5653a60d61cad7ddf.jpg",2
87,"ナポリタン","https://chefgohan.gnavi.co.jp/detail/127","https://c-chefgohan.gnst.jp/imgdata/recipe/27/01/127/rc732x546_1209110914_02e823a2ef8edd366934c487224a8a49.jpg",2
88,"エビピラフ","https://chefgohan.gnavi.co.jp/detail/128","https://c-chefgohan.gnst.jp/imgdata/recipe/28/01/128/rc732x546_1209110915_06aa6e84eeab4cd05425eb47b3430266.jpg",2
89,"ハンバーグステーキ","https://chefgohan.gnavi.co.jp/detail/129","https://c-chefgohan.gnst.jp/imgdata/recipe/29/01/129/rc732x546_1209110916_aac169e9d6308f2705c54bfacbcfc02d.jpg",2
90,"マカロニサラダ","https://chefgohan.gnavi.co.jp/detail/130","https://c-chefgohan.gnst.jp/imgdata/recipe/30/01/130/rc732x546_1209110916_e75bb8340a3f533b74cc13639f068e56.jpg",2
91,"カミカツ","https://chefgohan.gnavi.co.jp/detail/131","https://c-chefgohan.gnst.jp/imgdata/recipe/31/01/131/rc732x546_1209110918_db10a8d1897daae50c36002ac26f684a.jpg",2
92,"ドライカレー","https://chefgohan.gnavi.co.jp/detail/132","https://c-chefgohan.gnst.jp/imgdata/recipe/32/01/132/rc732x546_1209110918_59e16ccc5a1e4eb183e6fd758ed579e2.jpg",2
93,"カニクリームコロッケ","https://chefgohan.gnavi.co.jp/detail/664","https://c-chefgohan.gnst.jp/imgdata/recipe/64/06/664/rc732x546_1301210115_8fc30ec88af1f344f00a5b8b68234155.jpg",2
94,"クリームシチュー","https://chefgohan.gnavi.co.jp/detail/1593","https://c-chefgohan.gnst.jp/imgdata/recipe/93/15/1593/rc732x546_1311290219_c7c181c48208960c56e638ea0c92afde.jpg",2
95,"コンソメ","https://chefgohan.gnavi.co.jp/detail/2058","https://c-chefgohan.gnst.jp/imgdata/recipe/58/20/2058/rc732x546_1401101150_0df0f46c3d95a3dfc5fb55ececf2ca21.jpg",2
96,"メンチカツ（ミンチカツ）","https://chefgohan.gnavi.co.jp/detail/2275","https://c-chefgohan.gnst.jp/imgdata/recipe/75/22/2275/rc732x546_1403130431_91fca8bda2256f9dfafc1f165eebebfb.jpg",2
97,"エッグベネディクト","https://chefgohan.gnavi.co.jp/detail/2734","https://c-chefgohan.gnst.jp/imgdata/recipe/34/27/2734/rc732x546_1409010251_572391b5f819012353e63b6d8f2ee6fe.jpg",2
98,"ハンバーガー","https://chefgohan.gnavi.co.jp/detail/4180","https://c-chefgohan.gnst.jp/imgdata/recipe/80/41/4180/rc732x546_1604081456_1c2c13e5ac30c7ea7bbb5a69ad0c7169.jpg",2
99,"スモークチキン","https://chefgohan.gnavi.co.jp/detail/4181","https://c-chefgohan.gnst.jp/imgdata/recipe/81/41/4181/rc732x546_1604111146_594b9a08d6d83559c1eef4d928d747ed.jpg",2
100,"チリコンカーン","https://chefgohan.gnavi.co.jp/detail/4182","https://c-chefgohan.gnst.jp/imgdata/recipe/82/41/4182/rc732x546_1604131201_8d99fd71e81149fd0197d6fe4cade45f.jpg",2
101,"ムール貝の白ワイン蒸し","https://chefgohan.gnavi.co.jp/detail/4813","https://c-chefgohan.gnst.jp/imgdata/recipe/13/48/4813/rc732x546_1612081859_23a58bcbe0f02c15fc1fea0d14c88e2c.jpg",2
102,"鶏もも肉のベルギービール煮込み","https://chefgohan.gnavi.co.jp/detail/4814","https://c-chefgohan.gnst.jp/imgdata/recipe/14/48/4814/rc732x546_1612081911_d5725bb1bf45e1b06448e13de0864ed8.jpg",2
103,"オムライス ～ホワイトソース～","https://chefgohan.gnavi.co.jp/detail/4889","https://c-chefgohan.gnst.jp/imgdata/recipe/89/48/4889/rc732x546_1701311425_77d42424bec863c4949122c317ecca25.jpg",2
104,"フライドチキン","https://chefgohan.gnavi.co.jp/detail/4909","https://c-chefgohan.gnst.jp/imgdata/recipe/09/49/4909/rc732x546_1702101932_3615d854a9039d8c5c2ce8985cf25767.jpg",2
105,"ミートローフ","https://chefgohan.gnavi.co.jp/detail/4907","https://c-chefgohan.gnst.jp/imgdata/recipe/07/49/4907/rc732x546_1702101144_01ec4143c0334be1b50dcb2825c413ef.jpg",2
106,"手作り あらびきソーセージ","https://chefgohan.gnavi.co.jp/detail/4908","https://c-chefgohan.gnst.jp/imgdata/recipe/08/49/4908/rc732x546_1702102042_755c84b23982d46df0cc6691a1fe4abe.jpg",2
107,"シュパーゲル オランデーズソース（ホワイトアスパラガス）","https://chefgohan.gnavi.co.jp/detail/5014","https://c-chefgohan.gnst.jp/imgdata/recipe/14/50/5014/rc732x546_1704121205_e279e21aeeb0969ba657b35ff795ab1a.jpg",2
108,"ツヴィーベルクーヘン（ドイツ風 玉ねぎのキッシュ）","https://chefgohan.gnavi.co.jp/detail/5015","https://c-chefgohan.gnst.jp/imgdata/recipe/15/50/5015/rc732x546_1704121352_5dd68e1ce9f88424ddb4d1a5ffd37396.jpg",2
109,"マウルタッシェン　きのこのホワイトソース","https://chefgohan.gnavi.co.jp/detail/5016","https://c-chefgohan.gnst.jp/imgdata/recipe/16/50/5016/rc732x546_1704121559_9c4093fd055d3a7b975ecd0f6b280ab7.jpg",2
110,"エビチリ","https://chefgohan.gnavi.co.jp/detail/99","https://c-chefgohan.gnst.jp/imgdata/recipe/99/00/99/rc732x546_1209100818_21faaa88dd8b646649ea58c5eb4c1a62.jpg",3
111,"酢豚","https://chefgohan.gnavi.co.jp/detail/100","https://c-chefgohan.gnst.jp/imgdata/recipe/00/01/100/rc732x546_1209100828_307a89b0162d2dac4db74062cd910836.jpg",3
112,"あんかけ かに玉","https://chefgohan.gnavi.co.jp/detail/101","https://c-chefgohan.gnst.jp/imgdata/recipe/01/01/101/rc732x546_1211280546_c806949f3e0a5916bf6001c013b704d8.jpeg",3
113,"サンラータン","https://chefgohan.gnavi.co.jp/detail/103","https://c-chefgohan.gnst.jp/imgdata/recipe/03/01/103/rc732x546_1209100840_6e100ea5c57b4f327af79ee304b95dd6.jpg",3
